model,group,layer,feature,attention_method,spearman,p,n
llammlein-1b,experts,0,FPRT,raw,-0.021638981200690244,0.373005384682729,1697
llammlein-1b,experts,0,TFT,raw,-0.03121975599917192,0.19810501533588118,1701
llammlein-1b,experts,0,FFD,raw,-0.07013445177270543,0.0038451218779454407,1697
llammlein-1b,experts,0,SFD,raw,-0.06953888924081184,0.004269648446122578,1687
llammlein-1b,experts,0,RPD_inc,raw,-0.05989885122809533,0.013590421989751335,1697
llammlein-1b,experts,0,TFC,raw,-0.008969221077265565,0.711639778209476,1701
llammlein-1b,experts,0,pca,raw,-0.005726556641370962,0.8136408997308158,1697
llammlein-1b,experts,1,FPRT,raw,0.04858108932318848,0.0453936470889665,1697
llammlein-1b,experts,1,TFT,raw,0.0020623680630906197,0.9322644254552025,1701
llammlein-1b,experts,1,FFD,raw,-0.082300936836398,0.0006897552428814132,1697
llammlein-1b,experts,1,SFD,raw,-0.061286469886921865,0.011811492356522721,1687
llammlein-1b,experts,1,RPD_inc,raw,0.0025764055806078053,0.9155378233161604,1697
llammlein-1b,experts,1,TFC,raw,0.013079571586759972,0.5898387970363318,1701
llammlein-1b,experts,1,pca,raw,0.04768945655108101,0.04950447200017417,1697
llammlein-1b,novices,0,FPRT,raw,0.06492226217012602,0.007431105644094976,1699
llammlein-1b,novices,0,TFT,raw,0.06722648996005227,0.00554169156924021,1701
llammlein-1b,novices,0,FFD,raw,0.0765426190822876,0.0015922905886862784,1699
llammlein-1b,novices,0,SFD,raw,0.05060208912196071,0.03849714206890853,1673
llammlein-1b,novices,0,RPD_inc,raw,0.025160865625615324,0.29996674770700077,1699
llammlein-1b,novices,0,TFC,raw,0.06178383104126974,0.010811793116161083,1701
llammlein-1b,novices,0,pca,raw,0.00025521144234721775,0.991612951510048,1699
llammlein-1b,novices,1,FPRT,raw,0.11383878408974392,2.5491509080664776e-06,1699
llammlein-1b,novices,1,TFT,raw,0.07317724522663174,0.002528638970239564,1701
llammlein-1b,novices,1,FFD,raw,0.039793348859305556,0.10107142042998186,1699
llammlein-1b,novices,1,SFD,raw,0.027891563431567193,0.2542034607936207,1673
llammlein-1b,novices,1,RPD_inc,raw,0.07668309027094992,0.0015608436205790436,1699
llammlein-1b,novices,1,TFC,raw,0.06617604179205933,0.0063277234212831355,1701
llammlein-1b,novices,1,pca,raw,0.041976190281027795,0.0836834382794987,1699
